animal_type,name,age,color,months_in_shelter,behavior,health,vaccinated,target_audience,row_num,description
cat,Chloe,5,gray,24,"independent, affectionate",excellent,True,singles,11,No description generated
dog,Daisy,3,brown,6,"playful, friendly",good,False,families,12,"Daisy is a sweet and playful 3-year-old brown dog who is ready to find her forever home! She's been patiently waiting at the shelter for 6 months, and despite her time here, she hasn't lost her enthusiasm for life. Daisy loves to play fetch, cuddle up on the couch, and go for walks.  She's a great companion who would thrive in a family environment.  While Daisy has had a bit of a rough time lately, she's healthy and ready for a fresh start.  While she isn't vaccinated yet, we're happy to help get her up to date with her shots for the right family.  If you're looking for a loyal and loving furry friend, come meet Daisy today!"
cat,Oscar,1,black,4,"curious, shy",good,True,couples,13,No description generated
dog,Zeus,6,white,12,"loyal, obedient",bad,False,elderly,14,"Meet Zeus, a gentle giant who's been patiently waiting for his forever home for a year.  At six years young, this sweet, white-coated companion is a loyal and obedient soul, though he's had some health challenges recently.  While he hasn't yet received his vaccinations, we're working closely with a vet to get him back to tip-top shape, and we’re confident that with a little TLC, he’ll be thriving. Zeus is seeking a calm, loving home with seniors who have the time and patience to help him heal and enjoy his golden years. His gentle nature and quiet companionship would be a perfect fit for a quieter lifestyle, offering unwavering loyalty in return for your kindness.  Could you be the one to give Zeus the forever home he so deserves?"
cat,Loki,2,brown,7,"affectionate, playful",excellent,True,singles,15,"Loki, a handsome two-year-old brown tabby, is patiently waiting for his forever home after spending seven months at the shelter.  This affectionate and playful cat is full of energy and loves to cuddle. He is in excellent health, has all his vaccinations, and is ready to bring joy and companionship to a single person's life.  Loki is the perfect companion for someone who enjoys a little purring and playful antics after a long day."
dog,Rex,4,gray,9,"protective, energetic",good,True,couples,16,"Looking for a loyal and energetic companion to join your adventures? Meet Rex, a handsome 4-year-old gray dog with a heart of gold!  This protective boy has boundless energy and would thrive in an active home with a couple who can keep up with his playful spirit.  Despite having spent the last 9 months with us, Rex remains a sweet and affectionate dog who's ready to shower his new family with love. He's in excellent health and is up-to-date on all his vaccinations.  If you're a couple seeking a devoted and energetic friend to share your life with, Rex is the perfect match!  Come meet this amazing dog today and prepare to have your hearts stolen."
cat,Jasper,3,black,12,"shy, independent",bad,False,elderly,17,"Jasper is a handsome 3-year-old black cat who, despite his shy demeanor, would make a wonderful companion for a quiet and patient home. He's been with us for a while now, and we understand he needs someone who can give him the time and space to adjust. While he may be independent and prefers to observe from a distance at first, once he warms up to you, he's sure to be a purring lap cat. We're working with him on his health, and he's ready for a loving home where he can thrive. Though he hasn't been vaccinated yet, we're happy to get him up-to-date on all his shots before you bring him home."
dog,Riley,5,white,24,"friendly, obedient",excellent,True,families,18,"Meet Riley, a five-year-old, fluffy white cloud of a dog who's ready to bring sunshine into your family!  This gentle giant has been patiently waiting for his forever home for two whole years, but his sweet temperament and obedient nature haven't wavered.  Riley is incredibly friendly, happy to cuddle on the couch as much as he is to play fetch in the park.  He's healthy, up-to-date on all his vaccinations, and bursting with love to give.  If you're looking for a loyal companion who's ready to be a devoted member of your family, look no further than Riley – he's the perfect addition to any home!"
cat,Whiskers,7,gray,36,"calm, affectionate",good,True,elderly,19,"Whiskers is a sweet, 7-year-old gray cat who is looking for a loving forever home. He's been with us for a while, but he's a gentle soul who loves to be petted and snuggle. He's calm and quiet, making him the perfect companion for someone who enjoys peaceful company. Whiskers is in excellent health and is fully vaccinated, so he's ready to bring you years of purrs and cuddles. He's a senior cat, but he's full of life and would love to spend his golden years with someone special."
dog,Molly,4,brown,12,"friendly, loyal",good,True,families,20,No description generated
cat,Leo,2,white,5,"playful, curious",excellent,True,singles,21,No description generated
dog,Rover,3,gray,7,"obedient, energetic",excellent,False,active individuals,22,"Rover, a handsome 3-year-old gray dog, is bursting with energy and eager to find an active home! This obedient and playful pup has been waiting patiently for 7 months, dreaming of long walks, frisbee games, and adventurous hikes. Though Rover's health is excellent, he still needs his vaccinations.  He's the perfect companion for someone who enjoys an active lifestyle and is ready to give this loyal and loving dog the forever home he deserves."
cat,Tiger,5,black,12,"shy, independent",good,True,elderly,23,"Meet Tiger, a handsome 5-year-old black cat who's ready to find his forever home! While Tiger is a bit shy at first, he's a gentle soul with a quiet charm.  He's independent and enjoys his own company but would love a quiet, loving home where he can relax and be himself.  He's been patiently waiting for his special someone for a year now and is eager to find his forever family.  Tiger is healthy and up-to-date on all of his vaccinations, so you can rest assured that he's ready to bring you years of purrs and cuddles."
dog,Buster,6,white,24,"loyal, protective",bad,False,couples,24,"Buster, a sweet 6-year-old, all-white sweetheart, is looking for his forever home after an unfortunately long 24 months with us.  While his loyalty and protective instincts make him a devoted companion, he does have some underlying health concerns that require a loving, patient owner committed to providing the necessary care.  Although he hasn't yet received his vaccinations, we're working to address this, and with the right home and veterinary attention, Buster could thrive.  For a couple seeking a truly dedicated and loving friend, Buster's gentle nature and unwavering affection make him a perfect fit; he's ready to shower you with endless love and loyalty, in exchange for a comfortable home and a little extra TLC."
cat,Shadow,1,gray,4,"playful, affectionate",excellent,True,families,25,"Shadow, a sleek, one-year-old gray cat, is looking for a loving forever home. This playful and affectionate kitty has been patiently waiting at the shelter for four months and is ready to purr his way into your heart. He loves to cuddle and play with toys, and his gentle nature makes him a perfect companion for families. Shadow is in excellent health, fully vaccinated, and eager to shower his new family with love and endless head boops. Don't miss out on this adorable cat who's sure to bring joy to your home!"
dog,Rex,8,black,36,"calm, loyal",good,True,elderly,26,Description could not be generated.
cat,Sasha,3,brown,6,"curious, independent",good,False,singles,27,Description could not be generated.
dog,Duke,2,white,8,"energetic, playful",excellent,True,active individuals,28,Description could not be generated.
cat,Ginger,4,gray,12,"shy, affectionate",bad,True,couples,29,Description could not be generated.
dog,Zara,5,brown,12,"loyal, protective",excellent,True,families,30,Description could not be generated.
cat,Coco,2,black,3,"affectionate, playful",good,True,singles,31,No description generated
dog,Finn,7,white,24,"calm, obedient",excellent,False,elderly,32,Description could not be generated.
cat,Dusty,6,gray,48,"independent, calm",bad,True,elderly,33,Description could not be generated.
dog,Harley,3,brown,6,"friendly, energetic",good,True,families,34,Description could not be generated.
cat,Penny,5,white,8,"playful, affectionate",good,False,couples,35,Description could not be generated.
dog,Oscar,1,black,3,"energetic, curious",excellent,True,active individuals,36,Description could not be generated.
cat,Misty,4,gray,12,"independent, shy",good,True,singles,37,Description could not be generated.
dog,Bruno,6,brown,24,"loyal, protective",bad,False,elderly,38,Description could not be generated.
cat,Snowball,2,white,5,"playful, affectionate",excellent,True,families,39,Description could not be generated.
cat,Shadow,3,white,22,"loyal, protective, calm",bad,True,singles,40,Description could not be generated.
dog,Tank,13,black,52,"obedient, protective, playful",bad,True,elderly,41,Description could not be generated.
dog,Rover,2,black,8,curious,excellent,True,couples,42,Description could not be generated.
dog,Buster,10,white,55,affectionate,excellent,True,singles,43,Description could not be generated.
dog,Buster,6,black,12,"curious, friendly, obedient",excellent,True,couples,44,Description could not be generated.
dog,Nala,1,white,7,independent,bad,True,singles,45,Description could not be generated.
cat,Simba,7,white,10,"protective, energetic, independent",excellent,True,elderly,46,Description could not be generated.
dog,Buddy,1,gray,9,"obedient, energetic",good,True,singles,47,Description could not be generated.
dog,Oscar,6,brown,59,"calm, friendly",good,False,couples,48,Description could not be generated.
cat,Snowball,8,brown,49,"shy, curious, friendly",good,False,singles,49,Description could not be generated.
cat,Loki,1,brown,2,protective,excellent,True,elderly,50,Description could not be generated.
dog,Tank,9,black,17,"playful, curious, protective",good,False,singles,51,Description could not be generated.
cat,Luna,3,black,19,"loyal, curious",bad,False,couples,52,Description could not be generated.
dog,Nala,2,gray,7,"curious, independent",bad,True,elderly,53,Description could not be generated.
cat,Felix,12,gray,52,"protective, curious, independent",good,True,singles,54,Description could not be generated.
dog,Coco,5,gray,32,energetic,excellent,True,couples,55,Description could not be generated.
dog,Nala,2,gray,5,shy,good,True,elderly,56,Description could not be generated.
dog,Nala,3,gray,11,"shy, playful",excellent,True,active individuals,57,Description could not be generated.
dog,Duke,6,brown,51,obedient,bad,False,families,58,Description could not be generated.
cat,Dusty,13,white,23,"independent, obedient",good,False,families,59,Description could not be generated.
dog,Cooper,5,black,6,"independent, calm, friendly",good,True,elderly,60,Description could not be generated.
cat,Chloe,7,brown,44,affectionate,excellent,True,families,61,Description could not be generated.
cat,Leo,12,gray,33,"protective, independent",good,False,couples,62,Description could not be generated.
cat,Mittens,11,black,28,independent,excellent,True,families,63,Description could not be generated.
cat,Chester,2,gray,7,loyal,excellent,True,elderly,64,Description could not be generated.
cat,Loki,6,brown,23,"shy, friendly",excellent,True,active individuals,65,Description could not be generated.
cat,Chloe,3,white,27,obedient,excellent,True,couples,66,Description could not be generated.
cat,Penny,4,black,6,shy,excellent,True,elderly,67,Description could not be generated.
dog,Duke,1,white,9,"playful, curious, loyal",excellent,True,singles,68,Description could not be generated.
cat,Chester,12,black,58,affectionate,excellent,True,families,69,Description could not be generated.
cat,Oliver,8,white,38,curious,excellent,True,active individuals,70,Description could not be generated.
dog,Cooper,7,white,55,affectionate,good,False,active individuals,71,Description could not be generated.
dog,Jax,2,gray,21,"shy, protective",good,True,couples,72,Description could not be generated.
cat,Shadow,14,white,43,loyal,good,False,elderly,73,Description could not be generated.
cat,Simba,13,gray,31,"shy, protective, independent",excellent,True,singles,74,Description could not be generated.
dog,Riley,6,brown,21,playful,excellent,True,elderly,75,Description could not be generated.
dog,Buster,3,gray,33,"shy, affectionate",bad,True,elderly,76,Description could not be generated.
dog,Maddie,3,brown,31,"independent, friendly",good,True,active individuals,77,Description could not be generated.
dog,Cooper,12,brown,50,energetic,bad,False,elderly,78,Description could not be generated.
dog,Coco,8,brown,60,shy,bad,True,active individuals,79,Description could not be generated.
dog,Riley,1,black,8,"protective, energetic",bad,False,active individuals,80,Description could not be generated.
dog,Max,8,black,59,"affectionate, independent, friendly",bad,False,active individuals,81,Description could not be generated.
dog,Bruno,14,gray,52,"shy, loyal",bad,False,couples,82,Description could not be generated.
dog,Harley,2,white,24,energetic,excellent,True,families,83,Description could not be generated.
cat,Mittens,14,white,41,"protective, energetic",bad,True,active individuals,84,Description could not be generated.
cat,Ginger,7,white,16,"independent, energetic, shy",excellent,True,families,85,Description could not be generated.
cat,Bella,7,brown,35,"curious, affectionate",good,False,active individuals,86,Description could not be generated.
cat,Snowball,3,gray,17,"shy, loyal, energetic",excellent,True,families,87,Description could not be generated.
cat,Jasper,7,brown,49,playful,bad,True,families,88,Description could not be generated.
dog,Rocky,2,brown,20,"calm, curious, shy",bad,False,singles,89,Description could not be generated.
cat,Simba,2,brown,2,playful,bad,False,families,90,Description could not be generated.
cat,Loki,5,white,42,"loyal, friendly",good,False,active individuals,91,Description could not be generated.
dog,Rocky,15,black,36,"friendly, curious",good,True,couples,92,Description could not be generated.
cat,Bella,5,white,44,"playful, affectionate",excellent,True,elderly,93,Description could not be generated.
cat,Chester,15,white,18,"energetic, protective",good,True,families,94,Description could not be generated.
cat,Simba,9,black,7,playful,good,False,singles,95,Description could not be generated.
dog,Cooper,7,brown,19,"curious, affectionate",bad,False,singles,96,Description could not be generated.
cat,Nala,15,gray,37,"playful, loyal, friendly",bad,False,families,97,Description could not be generated.
cat,Oliver,8,brown,22,"obedient, playful, affectionate",good,False,elderly,98,Description could not be generated.
dog,Daisy,1,white,10,independent,good,False,singles,99,Description could not be generated.
cat,Sasha,14,black,27,"calm, obedient",excellent,True,couples,100,Description could not be generated.
dog,Harley,11,black,24,"curious, shy, obedient",excellent,True,couples,101,Description could not be generated.
dog,Nala,2,black,19,"protective, affectionate",good,False,couples,102,Description could not be generated.
cat,Chloe,5,black,30,"protective, independent",bad,False,couples,103,Description could not be generated.
dog,Max,5,white,8,"shy, energetic, protective",good,True,singles,104,Description could not be generated.
dog,Rover,6,gray,47,"loyal, shy, affectionate",bad,True,couples,105,Description could not be generated.
cat,Mittens,7,brown,39,independent,bad,True,couples,106,Description could not be generated.
cat,Oliver,8,black,57,calm,excellent,True,families,107,Description could not be generated.
cat,Chloe,8,brown,6,"calm, playful, shy",good,True,couples,108,Description could not be generated.
dog,Daisy,5,brown,11,"shy, affectionate, friendly",excellent,True,singles,109,Description could not be generated.
dog,Max,12,black,31,"loyal, energetic",good,True,elderly,110,Description could not be generated.
cat,Simba,13,white,23,"obedient, loyal",excellent,True,singles,111,Description could not be generated.
dog,Zeus,14,brown,41,playful,bad,False,couples,112,Description could not be generated.
cat,Penny,5,brown,8,"affectionate, calm, playful",excellent,True,elderly,113,Description could not be generated.
cat,Shadow,13,brown,51,playful,excellent,True,singles,114,Description could not be generated.
dog,Maddie,7,gray,39,"affectionate, curious",bad,False,families,115,Description could not be generated.
cat,Milo,14,brown,36,"calm, curious, affectionate",excellent,True,couples,116,Description could not be generated.
cat,Penny,12,brown,43,loyal,excellent,True,active individuals,117,Description could not be generated.
cat,Oliver,14,white,17,"obedient, playful, loyal",excellent,True,families,118,Description could not be generated.
cat,Oliver,1,black,7,"friendly, protective",good,False,singles,119,Description could not be generated.
dog,Rex,13,black,54,affectionate,good,False,elderly,120,Description could not be generated.
cat,Ruby,6,gray,52,calm,bad,True,families,121,Description could not be generated.
cat,Loki,8,white,47,protective,bad,False,singles,122,Description could not be generated.
cat,Sasha,1,black,2,"protective, energetic",bad,False,singles,123,Description could not be generated.
dog,Bella,8,brown,51,"friendly, playful",good,False,elderly,124,Description could not be generated.
dog,Rex,10,gray,31,playful,excellent,True,singles,125,Description could not be generated.
cat,Penny,10,gray,37,independent,bad,False,elderly,126,Description could not be generated.
cat,Simba,6,gray,41,playful,excellent,True,active individuals,127,Description could not be generated.
cat,Bella,10,black,58,"protective, friendly, loyal",excellent,True,couples,128,Description could not be generated.
dog,Charlie,13,black,53,"protective, friendly, shy",good,True,elderly,129,Description could not be generated.
dog,Rex,3,brown,17,obedient,good,False,families,130,Description could not be generated.
cat,Coco,10,white,36,"playful, obedient",bad,False,couples,131,Description could not be generated.
dog,Harley,3,white,25,"shy, friendly",excellent,True,singles,132,Description could not be generated.
cat,Milo,4,black,16,obedient,good,True,elderly,133,Description could not be generated.
cat,Whiskers,1,brown,8,"curious, energetic, protective",excellent,True,families,134,Description could not be generated.
cat,Ruby,3,gray,4,"energetic, calm",excellent,True,singles,135,Description could not be generated.
cat,Felix,11,gray,31,"curious, friendly",bad,False,couples,136,Description could not be generated.
dog,Zara,6,gray,32,"protective, curious, shy",bad,False,couples,137,Description could not be generated.
cat,Simba,3,brown,35,affectionate,bad,True,active individuals,138,Description could not be generated.
cat,Bella,7,gray,45,affectionate,excellent,True,active individuals,139,Description could not be generated.
dog,Tank,2,black,13,curious,excellent,True,families,140,Description could not be generated.
cat,Oliver,14,brown,43,"playful, loyal, calm",bad,False,families,141,Description could not be generated.
dog,Maddie,8,white,46,shy,good,False,elderly,142,Description could not be generated.
cat,Mittens,13,gray,27,"independent, obedient",bad,True,couples,143,Description could not be generated.
cat,Oscar,14,brown,34,obedient,good,False,singles,144,Description could not be generated.
dog,Cooper,14,brown,59,"shy, energetic, playful",excellent,True,families,145,Description could not be generated.
cat,Oliver,6,gray,54,"affectionate, shy, loyal",bad,False,couples,146,Description could not be generated.
cat,Oscar,7,white,12,playful,bad,False,active individuals,147,Description could not be generated.
dog,Max,1,gray,11,"playful, loyal",bad,False,families,148,Description could not be generated.
dog,Cooper,6,brown,10,independent,bad,False,singles,149,Description could not be generated.
dog,Murphy,2,black,7,"loyal, affectionate, protective",good,True,singles,150,Description could not be generated.
dog,Jax,1,black,7,"protective, friendly",bad,False,active individuals,151,Description could not be generated.
cat,Whiskers,15,gray,47,"playful, obedient, shy",excellent,True,active individuals,152,Description could not be generated.
dog,Zeus,6,white,44,independent,good,False,active individuals,153,Description could not be generated.
cat,Chester,4,brown,11,"shy, playful",good,False,active individuals,154,Description could not be generated.
cat,Chloe,15,black,38,"loyal, affectionate",bad,False,singles,155,Description could not be generated.
cat,Whiskers,15,brown,17,"energetic, obedient, shy",excellent,True,active individuals,156,Description could not be generated.
cat,Snowball,3,gray,15,independent,good,False,active individuals,157,Description could not be generated.
dog,Buddy,9,brown,48,"obedient, loyal",excellent,True,active individuals,158,Description could not be generated.
dog,Duke,11,brown,57,"protective, affectionate",good,True,singles,159,Description could not be generated.
dog,Duke,13,gray,47,"calm, affectionate, friendly",excellent,True,singles,160,Description could not be generated.
cat,Ginger,15,white,48,curious,bad,True,active individuals,161,Description could not be generated.
dog,Molly,7,gray,56,"shy, playful, obedient",bad,True,couples,162,Description could not be generated.
cat,Oliver,10,brown,46,"protective, independent, curious",bad,True,active individuals,163,Description could not be generated.
cat,Whiskers,7,white,50,"playful, independent",bad,False,families,164,Description could not be generated.
cat,Bella,9,gray,1,shy,excellent,True,couples,165,Description could not be generated.
dog,Riley,5,brown,19,loyal,excellent,True,singles,166,Description could not be generated.
cat,Felix,12,white,27,"affectionate, calm, loyal",good,False,couples,167,Description could not be generated.
dog,Tank,2,white,24,protective,good,False,couples,168,Description could not be generated.
cat,Coco,1,white,1,friendly,excellent,True,families,169,Description could not be generated.
dog,Duke,12,brown,22,"shy, playful",good,True,singles,170,Description could not be generated.
cat,Jasper,2,brown,4,"playful, energetic, independent",good,False,singles,171,Description could not be generated.
cat,Milo,7,black,36,"friendly, affectionate, protective",bad,True,singles,172,Description could not be generated.
dog,Bruno,8,black,50,protective,bad,False,singles,173,Description could not be generated.
cat,Misty,9,white,7,"obedient, curious, energetic",excellent,True,active individuals,174,Description could not be generated.
cat,Dusty,3,gray,2,independent,bad,True,families,175,Description could not be generated.
dog,Oscar,14,gray,51,"affectionate, protective, energetic",excellent,True,couples,176,Description could not be generated.
cat,Whiskers,1,white,1,"affectionate, curious, energetic",good,True,couples,177,Description could not be generated.
cat,Bella,3,brown,17,playful,good,True,families,178,Description could not be generated.
dog,Rocky,4,gray,1,"calm, protective, playful",excellent,True,singles,179,Description could not be generated.
dog,Duke,4,white,44,"curious, energetic, calm",good,False,singles,180,Description could not be generated.
cat,Shadow,7,brown,47,"playful, obedient",excellent,True,couples,181,Description could not be generated.
cat,Jasper,9,black,18,"curious, loyal",good,True,families,182,Description could not be generated.
dog,Zeus,2,white,2,playful,excellent,True,couples,183,Description could not be generated.
cat,Bella,7,white,32,independent,good,False,couples,184,Description could not be generated.
dog,Nala,10,white,48,"playful, obedient, affectionate",bad,True,couples,185,Description could not be generated.
dog,Duke,6,brown,38,"obedient, friendly, independent",bad,True,elderly,186,Description could not be generated.
dog,Nala,6,gray,53,"shy, playful, loyal",good,True,families,187,Description could not be generated.
dog,Charlie,12,gray,31,"energetic, shy",excellent,True,elderly,188,Description could not be generated.
dog,Nala,13,white,31,"independent, energetic",excellent,True,active individuals,189,Description could not be generated.
dog,Oscar,14,black,52,"affectionate, protective, playful",bad,False,families,190,Description could not be generated.
dog,Buddy,3,gray,29,"affectionate, obedient",excellent,True,singles,191,Description could not be generated.
cat,Oscar,4,brown,35,"shy, calm, friendly",bad,True,singles,192,Description could not be generated.
dog,Murphy,4,white,25,"calm, affectionate, friendly",excellent,True,families,193,Description could not be generated.
dog,Charlie,14,white,33,"playful, obedient, curious",excellent,True,couples,194,Description could not be generated.
dog,Rocky,12,brown,41,"playful, affectionate",excellent,True,active individuals,195,Description could not be generated.
cat,Simba,2,brown,5,friendly,bad,False,active individuals,196,Description could not be generated.
dog,Buddy,15,brown,36,"protective, affectionate, calm",good,False,families,197,Description could not be generated.
cat,Bella,2,white,7,"playful, protective",good,False,couples,198,Description could not be generated.
cat,Dusty,2,brown,21,"obedient, curious",good,True,active individuals,199,Description could not be generated.
cat,Moss,12,black,44,"quiet, active, energetic",good,True,families,200,Description could not be generated.
cat,Amber,8,gray,53,"trainable, confident",bad,True,active individuals,201,Description could not be generated.
cat,Moss,15,black,57,mellow,good,True,singles,202,Description could not be generated.
cat,Oscar,6,gray,18,alert,good,True,singles,203,Description could not be generated.
dog,Nala,14,white,29,"sociable, friendly",bad,True,elderly,204,Description could not be generated.
cat,Kitty,2,brown,12,"mellow, adventurous, calm",good,True,elderly,205,Description could not be generated.
dog,Pickles,7,white,27,"calm, affectionate",excellent,True,singles,206,Description could not be generated.
cat,Shadow,4,white,33,people-oriented,excellent,True,active individuals,207,Description could not be generated.
cat,Sky,1,black,6,"quick learner, patient, relaxed",good,False,families,208,Description could not be generated.
dog,Rocky,13,black,54,"loyal, quick learner",excellent,True,active individuals,209,Description could not be generated.
cat,Coco,6,brown,30,"energetic, sociable",excellent,True,families,210,Description could not be generated.
cat,Chester,4,gray,39,"sociable, enthusiastic, focused",excellent,True,active individuals,211,Description could not be generated.
cat,Queen,3,black,5,"quiet, loyal",good,True,families,212,Description could not be generated.
dog,Atlas,8,brown,28,"relaxed, people-oriented",excellent,True,families,213,Description could not be generated.
cat,Chloe,2,brown,6,"athletic, good with other pets, dignified",bad,True,singles,214,Description could not be generated.
cat,Ash,11,white,41,"good with other pets, obedient, playful",excellent,True,couples,215,Description could not be generated.
dog,Forest,12,brown,23,cuddly,excellent,True,couples,216,Description could not be generated.
cat,Duke,14,brown,18,dignified,excellent,True,active individuals,217,Description could not be generated.
cat,Sushi,5,white,60,"playful, outgoing",excellent,True,elderly,218,Description could not be generated.
dog,Zeus,9,black,46,"enthusiastic, good with kids, loving",excellent,True,active individuals,219,Description could not be generated.
cat,Storm,11,gray,39,"intelligent, responsive, laid-back",excellent,True,active individuals,220,Description could not be generated.
dog,Coco,4,gray,39,"devoted, curious",excellent,True,singles,221,Description could not be generated.
cat,Ash,1,white,4,"food-motivated, athletic",bad,True,singles,222,Description could not be generated.
cat,Chester,3,white,22,"loyal, lap cat/dog, enthusiastic",bad,True,active individuals,223,Description could not be generated.
cat,Coco,7,brown,31,"affectionate, friendly, lap cat/dog",excellent,True,active individuals,224,Description could not be generated.
cat,Pixie,9,black,38,"independent, athletic, protective",good,True,families,225,Description could not be generated.
cat,Bella,13,black,47,"quick learner, quiet, cautious",bad,True,active individuals,226,Description could not be generated.
cat,Oreo,1,white,12,"laid-back, adventurous, focused",excellent,True,couples,227,Description could not be generated.
cat,Mittens,12,gray,24,"intelligent, quiet",excellent,True,families,228,Description could not be generated.
dog,Brook,15,black,58,active,excellent,True,elderly,229,Description could not be generated.
dog,Archie,9,black,2,"quiet, alert",excellent,True,active individuals,230,No description generated
cat,Bella,5,brown,7,"food-motivated, quick learner, affectionate",good,True,active individuals,231,Description could not be generated.
cat,Binx,10,white,26,"loving, outgoing, focused",excellent,True,families,232,No description generated
cat,Felix,12,gray,50,focused,excellent,True,active individuals,233,"Felix, a distinguished gentleman of 12 years, is a seasoned cat looking for his forever home. This handsome gray fellow is a picture of health and grace, having been meticulously cared for throughout his life. Despite his time in the shelter, Felix has retained his composure and focus, a true testament to his resilience.  He's active and playful, and would be the perfect companion for an individual looking for a low-maintenance, but loving companion.  Felix is fully vaccinated and ready to bring a touch of quiet elegance to your life."
dog,Ziggy,13,black,41,"quick learner, calm, quiet",excellent,True,elderly,234,"Meet Ziggy, a distinguished gentleman of 13 years who's ready to enjoy his golden years with a loving companion!  This sweet, black-coated boy is remarkably calm and quiet, a perfect fit for a peaceful home life.  Despite his age, Ziggy is a quick learner and eager to please, proving that wisdom and playful spirit can coexist beautifully.  He's in excellent health, fully vaccinated, and has patiently waited 41 months for his forever home.  Ziggy's gentle nature and low-key personality make him an ideal companion for seniors seeking a loyal and loving friend who appreciates quiet companionship and gentle walks.  Could you be the one to finally welcome Ziggy into your heart and home?"
