animal_type,name,age,color,months_in_shelter,behavior,health,vaccinated,target_audience
cat,Penny,5,white,8,"playful, affectionate",good,False,couples
dog,Oscar,1,black,3,"energetic, curious",excellent,True,active individuals
cat,Misty,4,gray,12,"independent, shy",good,True,singles
dog,Bruno,6,brown,24,"loyal, protective",bad,False,elderly
cat,Snowball,2,white,5,"playful, affectionate",excellent,True,families
cat,Shadow,3,white,22,"loyal, protective, calm",bad,True,singles
dog,Tank,13,black,52,"obedient, protective, playful",bad,True,elderly
dog,Rover,2,black,8,curious,excellent,True,couples
dog,Buster,10,white,55,affectionate,excellent,True,singles
dog,Buster,6,black,12,"curious, friendly, obedient",excellent,True,couples
dog,Nala,1,white,7,independent,bad,True,singles
cat,Simba,7,white,10,"protective, energetic, independent",excellent,True,elderly
dog,Buddy,1,gray,9,"obedient, energetic",good,True,singles
dog,Oscar,6,brown,59,"calm, friendly",good,False,couples
cat,Snowball,8,brown,49,"shy, curious, friendly",good,False,singles
cat,Loki,1,brown,2,protective,excellent,True,elderly
dog,Tank,9,black,17,"playful, curious, protective",good,False,singles
cat,Luna,3,black,19,"loyal, curious",bad,False,couples
dog,Nala,2,gray,7,"curious, independent",bad,True,elderly
cat,Felix,12,gray,52,"protective, curious, independent",good,True,singles
dog,Coco,5,gray,32,energetic,excellent,True,couples
dog,Nala,2,gray,5,shy,good,True,elderly
dog,Nala,3,gray,11,"shy, playful",excellent,True,active individuals
dog,Duke,6,brown,51,obedient,bad,False,families
cat,Dusty,13,white,23,"independent, obedient",good,False,families
dog,Cooper,5,black,6,"independent, calm, friendly",good,True,elderly
cat,Chloe,7,brown,44,affectionate,excellent,True,families
cat,Leo,12,gray,33,"protective, independent",good,False,couples
cat,Mittens,11,black,28,independent,excellent,True,families
cat,Chester,2,gray,7,loyal,excellent,True,elderly
cat,Loki,6,brown,23,"shy, friendly",excellent,True,active individuals
cat,Chloe,3,white,27,obedient,excellent,True,couples
cat,Penny,4,black,6,shy,excellent,True,elderly
dog,Duke,1,white,9,"playful, curious, loyal",excellent,True,singles
cat,Chester,12,black,58,affectionate,excellent,True,families
cat,Oliver,8,white,38,curious,excellent,True,active individuals
dog,Cooper,7,white,55,affectionate,good,False,active individuals
dog,Jax,2,gray,21,"shy, protective",good,True,couples
cat,Shadow,14,white,43,loyal,good,False,elderly
cat,Simba,13,gray,31,"shy, protective, independent",excellent,True,singles
dog,Riley,6,brown,21,playful,excellent,True,elderly
dog,Buster,3,gray,33,"shy, affectionate",bad,True,elderly
dog,Maddie,3,brown,31,"independent, friendly",good,True,active individuals
dog,Cooper,12,brown,50,energetic,bad,False,elderly
dog,Coco,8,brown,60,shy,bad,True,active individuals
dog,Riley,1,black,8,"protective, energetic",bad,False,active individuals
dog,Max,8,black,59,"affectionate, independent, friendly",bad,False,active individuals
dog,Bruno,14,gray,52,"shy, loyal",bad,False,couples
dog,Harley,2,white,24,energetic,excellent,True,families
cat,Mittens,14,white,41,"protective, energetic",bad,True,active individuals
cat,Ginger,7,white,16,"independent, energetic, shy",excellent,True,families
cat,Bella,7,brown,35,"curious, affectionate",good,False,active individuals
cat,Snowball,3,gray,17,"shy, loyal, energetic",excellent,True,families
cat,Jasper,7,brown,49,playful,bad,True,families
dog,Rocky,2,brown,20,"calm, curious, shy",bad,False,singles
cat,Simba,2,brown,2,playful,bad,False,families
cat,Loki,5,white,42,"loyal, friendly",good,False,active individuals
dog,Rocky,15,black,36,"friendly, curious",good,True,couples
cat,Bella,5,white,44,"playful, affectionate",excellent,True,elderly
cat,Chester,15,white,18,"energetic, protective",good,True,families
cat,Simba,9,black,7,playful,good,False,singles
dog,Cooper,7,brown,19,"curious, affectionate",bad,False,singles
cat,Nala,15,gray,37,"playful, loyal, friendly",bad,False,families
cat,Oliver,8,brown,22,"obedient, playful, affectionate",good,False,elderly
dog,Daisy,1,white,10,independent,good,False,singles
cat,Sasha,14,black,27,"calm, obedient",excellent,True,couples
dog,Harley,11,black,24,"curious, shy, obedient",excellent,True,couples
dog,Nala,2,black,19,"protective, affectionate",good,False,couples
cat,Chloe,5,black,30,"protective, independent",bad,False,couples
dog,Max,5,white,8,"shy, energetic, protective",good,True,singles
dog,Rover,6,gray,47,"loyal, shy, affectionate",bad,True,couples
cat,Mittens,7,brown,39,independent,bad,True,couples
cat,Oliver,8,black,57,calm,excellent,True,families
cat,Chloe,8,brown,6,"calm, playful, shy",good,True,couples
dog,Daisy,5,brown,11,"shy, affectionate, friendly",excellent,True,singles
dog,Max,12,black,31,"loyal, energetic",good,True,elderly
cat,Simba,13,white,23,"obedient, loyal",excellent,True,singles
dog,Zeus,14,brown,41,playful,bad,False,couples
cat,Penny,5,brown,8,"affectionate, calm, playful",excellent,True,elderly
cat,Shadow,13,brown,51,playful,excellent,True,singles
dog,Maddie,7,gray,39,"affectionate, curious",bad,False,families
cat,Milo,14,brown,36,"calm, curious, affectionate",excellent,True,couples
cat,Penny,12,brown,43,loyal,excellent,True,active individuals
cat,Oliver,14,white,17,"obedient, playful, loyal",excellent,True,families
cat,Oliver,1,black,7,"friendly, protective",good,False,singles
dog,Rex,13,black,54,affectionate,good,False,elderly
cat,Ruby,6,gray,52,calm,bad,True,families
cat,Loki,8,white,47,protective,bad,False,singles
cat,Sasha,1,black,2,"protective, energetic",bad,False,singles
dog,Bella,8,brown,51,"friendly, playful",good,False,elderly
dog,Rex,10,gray,31,playful,excellent,True,singles
cat,Penny,10,gray,37,independent,bad,False,elderly
cat,Simba,6,gray,41,playful,excellent,True,active individuals
cat,Bella,10,black,58,"protective, friendly, loyal",excellent,True,couples
dog,Charlie,13,black,53,"protective, friendly, shy",good,True,elderly
dog,Rex,3,brown,17,obedient,good,False,families
cat,Coco,10,white,36,"playful, obedient",bad,False,couples
dog,Harley,3,white,25,"shy, friendly",excellent,True,singles
cat,Milo,4,black,16,obedient,good,True,elderly
cat,Whiskers,1,brown,8,"curious, energetic, protective",excellent,True,families
cat,Ruby,3,gray,4,"energetic, calm",excellent,True,singles
cat,Felix,11,gray,31,"curious, friendly",bad,False,couples
dog,Zara,6,gray,32,"protective, curious, shy",bad,False,couples
cat,Simba,3,brown,35,affectionate,bad,True,active individuals
cat,Bella,7,gray,45,affectionate,excellent,True,active individuals
dog,Tank,2,black,13,curious,excellent,True,families
cat,Oliver,14,brown,43,"playful, loyal, calm",bad,False,families
dog,Maddie,8,white,46,shy,good,False,elderly
cat,Mittens,13,gray,27,"independent, obedient",bad,True,couples
cat,Oscar,14,brown,34,obedient,good,False,singles
dog,Cooper,14,brown,59,"shy, energetic, playful",excellent,True,families
cat,Oliver,6,gray,54,"affectionate, shy, loyal",bad,False,couples
cat,Oscar,7,white,12,playful,bad,False,active individuals
dog,Max,1,gray,11,"playful, loyal",bad,False,families
dog,Cooper,6,brown,10,independent,bad,False,singles
dog,Murphy,2,black,7,"loyal, affectionate, protective",good,True,singles
dog,Jax,1,black,7,"protective, friendly",bad,False,active individuals
cat,Whiskers,15,gray,47,"playful, obedient, shy",excellent,True,active individuals
dog,Zeus,6,white,44,independent,good,False,active individuals
cat,Chester,4,brown,11,"shy, playful",good,False,active individuals
cat,Chloe,15,black,38,"loyal, affectionate",bad,False,singles
cat,Whiskers,15,brown,17,"energetic, obedient, shy",excellent,True,active individuals
cat,Snowball,3,gray,15,independent,good,False,active individuals
dog,Buddy,9,brown,48,"obedient, loyal",excellent,True,active individuals
dog,Duke,11,brown,57,"protective, affectionate",good,True,singles
dog,Duke,13,gray,47,"calm, affectionate, friendly",excellent,True,singles
cat,Ginger,15,white,48,curious,bad,True,active individuals
dog,Molly,7,gray,56,"shy, playful, obedient",bad,True,couples
cat,Oliver,10,brown,46,"protective, independent, curious",bad,True,active individuals
cat,Whiskers,7,white,50,"playful, independent",bad,False,families
cat,Bella,9,gray,1,shy,excellent,True,couples
dog,Riley,5,brown,19,loyal,excellent,True,singles
cat,Felix,12,white,27,"affectionate, calm, loyal",good,False,couples
dog,Tank,2,white,24,protective,good,False,couples
cat,Coco,1,white,1,friendly,excellent,True,families
dog,Duke,12,brown,22,"shy, playful",good,True,singles
cat,Jasper,2,brown,4,"playful, energetic, independent",good,False,singles
cat,Milo,7,black,36,"friendly, affectionate, protective",bad,True,singles
dog,Bruno,8,black,50,protective,bad,False,singles
cat,Misty,9,white,7,"obedient, curious, energetic",excellent,True,active individuals
cat,Dusty,3,gray,2,independent,bad,True,families
dog,Oscar,14,gray,51,"affectionate, protective, energetic",excellent,True,couples
cat,Whiskers,1,white,1,"affectionate, curious, energetic",good,True,couples
cat,Bella,3,brown,17,playful,good,True,families
dog,Rocky,4,gray,1,"calm, protective, playful",excellent,True,singles
dog,Duke,4,white,44,"curious, energetic, calm",good,False,singles
cat,Shadow,7,brown,47,"playful, obedient",excellent,True,couples
cat,Jasper,9,black,18,"curious, loyal",good,True,families
dog,Zeus,2,white,2,playful,excellent,True,couples
cat,Bella,7,white,32,independent,good,False,couples
dog,Nala,10,white,48,"playful, obedient, affectionate",bad,True,couples
dog,Duke,6,brown,38,"obedient, friendly, independent",bad,True,elderly
dog,Nala,6,gray,53,"shy, playful, loyal",good,True,families
dog,Charlie,12,gray,31,"energetic, shy",excellent,True,elderly
dog,Nala,13,white,31,"independent, energetic",excellent,True,active individuals
dog,Oscar,14,black,52,"affectionate, protective, playful",bad,False,families
dog,Buddy,3,gray,29,"affectionate, obedient",excellent,True,singles
cat,Oscar,4,brown,35,"shy, calm, friendly",bad,True,singles
dog,Murphy,4,white,25,"calm, affectionate, friendly",excellent,True,families
dog,Charlie,14,white,33,"playful, obedient, curious",excellent,True,couples
dog,Rocky,12,brown,41,"playful, affectionate",excellent,True,active individuals
cat,Simba,2,brown,5,friendly,bad,False,active individuals
dog,Buddy,15,brown,36,"protective, affectionate, calm",good,False,families
cat,Bella,2,white,7,"playful, protective",good,False,couples
cat,Dusty,2,brown,21,"obedient, curious",good,True,active individuals
